"Island","Site","Genus_Code","Site_Genet","Year_STA","Date_STA","Surface_Area_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","Year_END","Date_END","Surface_Area_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","Interval_Years","Mortality","Survival"
"FFS","OCC-FFS-014","MOSP","FFS_OCC_014_00545",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,5.83184991004,11.5795408347,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00546",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,31.6338502125,21.9762709484,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00547",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,0.56150009746,2.99297847941,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00548",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,51.4896996285,32.1525246929,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00549",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,2.73984991062,6.69151428568,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00550",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,1.20405008487,5.36353658138,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00551",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,12.4932499051,13.7792125081,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00552",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,1.81025013989,5.96630923065,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00553",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,4.03099993985,7.77120249319,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00554",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,2.24025005501,6.11594691595,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00555",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,1.70370005253,7.28344415556,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00556",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,2.31109991395,5.95914196365,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00557",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,13.0084000981,14.4215686848,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00558",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,1.32970002352,4.67025914831,1,"RECR","13_16",2.98973305954825,0,1
"FFS","OCC-FFS-014","POSP","FFS_OCC_014_00559",2013,2013-09-06,NA,0,0,1,2016,2016-09-02,NA,12.6168998878,14.9723601586,1,"RECR","13_16",2.98973305954825,0,1
