"","Island","Site","Genus","Site_Genet","TimePt_STA","TP_ID_STA","Year_STA","TL_Date_STA","Surface_Area_STA","Shape_Area_STA","Shape_Leng_STA","nPatches_STA","TimePt_END","TP_ID_END","Year_END","TL_Date_END","Surface_Area_END","Shape_Area_END","Shape_Leng_END","nPatches_END","TransitionTypeSimple","Interval","l10_Area_STA","l10_Area_END","l10TransitionMagnitude","l10_Surface_Area_STA","l10_Surface_Area_END","l10STransitionMagnitude","Interval_Years","l10_Area_ENDann","l10_Surface_Area_ENDann","Mortality","Survival"
"11","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01930",0,4,2016,2016-09-12,NA,47.0560001,36.89393152,1,1,7,2019,2019-09-02,NA,157.0430499,56.40454803,1,"GROW","16_19",1.67261500808593,2.19601872101553,0.5234037129296,NA,NA,NA,2.97056810403833,1.84881151144771,NA,0,1
"12","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01931",0,4,2016,2016-09-12,NA,4.405099908,9.680873627,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.643955762691553,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"13","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01932",0,4,2016,2016-09-12,NA,107.0539498,52.36192063,1,1,7,2019,2019-09-02,NA,198.6316003,61.50945597,1,"GROW","16_19",2.02960269540159,2.29804834156216,0.268445646160576,NA,NA,NA,2.97056810403833,2.11997114909758,NA,0,1
"14","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01933",0,4,2016,2016-09-12,NA,14.36350016,20.5450773,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",1.1572602835655,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"15","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01934",0,4,2016,2016-09-12,NA,0.195999974,1.892699421,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.70774398625402,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"16","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01935",0,4,2016,2016-09-12,NA,2.694749937,7.278587713,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.430518470443069,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"17","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01936",0,4,2016,2016-09-12,NA,0.872000015,3.760831104,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.0594835075967709,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"18","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01937",0,4,2016,2016-09-12,NA,0.893550019,4.307776376,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.0488811316108537,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"19","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01938",0,4,2016,2016-09-12,NA,1.020100155,4.59366874,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.00864281355454067,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"20","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01939",0,4,2016,2016-09-12,NA,1.919149889,6.450134949,1,1,7,2019,2019-09-02,NA,6.274049926,18.00171271,1,"GROW","16_19",0.283108895227122,0.797547970290963,0.514439075063841,NA,NA,NA,2.97056810403833,0.456287579252069,NA,0,1
"21","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01940",0,4,2016,2016-09-12,NA,164.8219504,58.65930477,1,1,7,2019,2019-09-02,NA,285.7047501,81.35766626,1,"GROW","16_19",2.21701504900422,2.45591746098152,0.238902411977299,NA,NA,NA,2.97056810403833,2.29743818815141,NA,0,1
"22","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01941",0,4,2016,2016-09-12,NA,315.9302998,81.61202305,1,1,7,2019,2019-09-02,NA,225.0942,107.3367389,1,"GROW","16_19",2.49959127960855,2.35236430468312,-0.147226974925429,NA,NA,NA,2.97056810403833,2.45002938781913,NA,0,1
"23","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01942",0,4,2016,2016-09-12,NA,137.1645,58.53663333,1,1,7,2019,2019-09-02,NA,257.9193998,75.17888946,1,"GROW","16_19",2.1372417247158,2.41148400948662,0.274242284770815,NA,NA,NA,2.97056810403833,2.22956153532644,NA,0,1
"24","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01943",0,4,2016,2016-09-12,NA,16.07634996,17.55627263,1,1,7,2019,2019-09-02,NA,13.3472498,24.71452557,1,"GROW","16_19",1.20618745161571,1.12539178856738,-0.0807956630483226,NA,NA,NA,2.97056810403833,1.17898872725773,NA,0,1
"25","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01944",0,4,2016,2016-09-12,NA,0.659850102,3.530849999,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.180554711833965,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"26","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01945",0,4,2016,2016-09-12,NA,0.78225007,3.562840408,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.10665438931873,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"27","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01946",0,4,2016,2016-09-12,NA,2.394949976,8.737074499,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.379296446613191,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"28","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01947",0,4,2016,2016-09-12,NA,77.32460023,38.1390961,1,1,7,2019,2019-09-02,NA,88.70945018,43.32691617,1,"GROW","16_19",1.88831768336835,1.94796988750266,0.0596522041343166,NA,NA,NA,2.97056810403833,1.90839875946057,NA,0,1
"29","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01948",0,4,2016,2016-09-12,NA,112.1307996,46.20863921,1,1,7,2019,2019-09-02,NA,200.5296002,65.62197488,1,"GROW","16_19",2.0497249190991,2.3021784879522,0.252453568853098,NA,NA,NA,2.97056810403833,2.13470986474297,NA,0,1
"30","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01949",0,4,2016,2016-09-12,NA,16.07475011,15.41617871,1,1,7,2019,2019-09-02,NA,2.344449993,6.858876041,1,"GROW","16_19",1.20614423032462,0.370040973694286,-0.836103256630333,NA,NA,NA,2.97056810403833,0.924681820661735,NA,0,1
"31","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01950",0,4,2016,2016-09-12,NA,81.51614975,37.22450445,1,1,7,2019,2019-09-02,NA,182.8085499,56.49812693,1,"GROW","16_19",1.9112436584638,2.26199650369298,0.350752845229188,NA,NA,NA,2.97056810403833,2.0293196738739,NA,0,1
"32","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01951",0,4,2016,2016-09-12,NA,7.864850003,11.41113979,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.895690444252301,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"33","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01952",0,4,2016,2016-09-12,NA,1.520149954,5.067266207,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.181886430696464,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"34","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01953",0,4,2016,2016-09-12,NA,5.872999913,12.05667356,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.768859994409512,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"35","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01954",0,4,2016,2016-09-12,NA,0.206549998,2.150755215,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.684974804892619,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"36","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01955",0,4,2016,2016-09-12,NA,0.571199972,3.752183429,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.243211822520828,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"37","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01956",0,4,2016,2016-09-12,NA,11.34574974,14.23311876,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",1.05483319984073,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"38","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01957",0,4,2016,2016-09-12,NA,0.697200007,3.340341976,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.156642617201658,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"39","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01958",0,4,2016,2016-09-12,NA,5.083050022,9.936301064,1,1,7,2019,2019-09-02,NA,6.248999878,9.952551498,1,"GROW","16_19",0.706124383590502,0.795810516188623,0.0896861325981212,NA,NA,NA,2.97056810403833,0.736315959564201,NA,0,1
"40","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01959",0,4,2016,2016-09-12,NA,5.188799973,11.86982744,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.71506692906904,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"41","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01960",0,4,2016,2016-09-12,NA,8.317750183,13.68789117,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.920005872536027,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"42","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01961",0,4,2016,2016-09-12,NA,18.68910025,22.43318358,1,1,7,2019,2019-09-02,NA,59.99435005,34.54947389,1,"GROW","16_19",1.27158839362784,1.77811035275623,0.506521959128393,NA,NA,NA,2.97056810403833,1.44210189185056,NA,0,1
"43","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01962",0,4,2016,2016-09-12,NA,16.99039984,20.48584381,1,1,7,2019,2019-09-02,NA,60.50145003,37.05663412,1,"GROW","16_19",1.23020359936712,1.78176578345381,0.551562184086684,NA,NA,NA,2.97056810403833,1.4158792562682,NA,0,1
"44","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01963",0,4,2016,2016-09-12,NA,49.63420041,43.84022059,1,1,7,2019,2019-09-02,NA,25.10060003,53.25189526,4,"GROW","16_19",1.69578102993626,1.39968410341742,-0.296096926518835,NA,NA,NA,2.97056810403833,1.59610416135469,NA,0,1
"45","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01964",0,4,2016,2016-09-12,NA,123.4791504,48.88579218,1,1,7,2019,2019-09-02,NA,179.8934004,67.28378603,1,"GROW","16_19",2.09159363265116,2.25501523103629,0.163421598385132,NA,NA,NA,2.97056810403833,2.14660721680799,NA,0,1
"46","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01965",0,4,2016,2016-09-12,NA,183.5034998,60.14153064,1,1,7,2019,2019-09-02,NA,302.6522001,81.44157777,1,"GROW","16_19",2.26364435158175,2.48094383532049,0.217299483738741,NA,NA,NA,2.97056810403833,2.33679516857306,NA,0,1
"47","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01966",0,4,2016,2016-09-12,NA,121.5134002,50.48437627,1,1,7,2019,2019-09-02,NA,206.6036002,74.66133207,1,"GROW","16_19",2.08462417350649,2.31513788510892,0.230513711602431,NA,NA,NA,2.97056810403833,2.16222337457818,NA,0,1
"48","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01967",0,4,2016,2016-09-12,NA,10.52005015,15.36680396,1,1,7,2019,2019-09-02,NA,52.95245009,36.1441402,1,"GROW","16_19",1.02201781014247,1.72388605955115,0.701868249408683,NA,NA,NA,2.97056810403833,1.25829189133742,NA,0,1
"49","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01968",0,4,2016,2016-09-12,NA,5.793149908,10.0155381,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.762914766782303,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"50","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01969",0,4,2016,2016-09-12,NA,31.82060017,23.62606882,1,1,7,2019,2019-09-02,NA,101.4224999,48.40496384,1,"GROW","16_19",1.50270836663869,2.00613431099784,0.503425944359149,NA,NA,NA,2.97056810403833,1.67217963500476,NA,0,1
"51","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01970",0,4,2016,2016-09-12,NA,0.444450111,3.025086124,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.35217698100059,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"52","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01971",0,4,2016,2016-09-12,NA,0.865299975,3.64733949,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.0628333088324794,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"53","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01972",0,4,2016,2016-09-12,NA,1.10020002,4.257070346,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.041471648508575,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"54","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01973",0,4,2016,2016-09-12,NA,119.6097497,48.91015341,1,1,7,2019,2019-09-02,NA,146.3435002,82.35243042,1,"GROW","16_19",2.07776658156154,2.16537343814692,0.0876068565853849,NA,NA,NA,2.97056810403833,2.10725819849039,NA,0,1
"55","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01974",0,4,2016,2016-09-12,NA,56.50829994,32.84561365,1,1,7,2019,2019-09-02,NA,145.6310501,58.10912125,1,"GROW","16_19",1.75211224168503,2.16325398108574,0.411141739400704,NA,NA,NA,2.97056810403833,1.89051732953398,NA,0,1
"56","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01975",0,4,2016,2016-09-12,NA,127.9928001,50.87261874,1,1,7,2019,2019-09-02,NA,301.06765,81.43423078,1,"GROW","16_19",2.10718554023548,2.47866409267226,0.37147855243678,NA,NA,NA,2.97056810403833,2.23223857367099,NA,0,1
"57","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01976",0,4,2016,2016-09-12,NA,31.0541498,24.28545506,1,1,7,2019,2019-09-02,NA,111.8942996,49.42704735,1,"GROW","16_19",1.49211964363718,2.04880796217335,0.556688318536172,NA,NA,NA,2.97056810403833,1.67952094165132,NA,0,1
"58","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01977",0,4,2016,2016-09-12,NA,14.66780002,16.86656974,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",1.16636498018122,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"59","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01978",0,4,2016,2016-09-12,NA,54.67540013,33.48150204,1,1,7,2019,2019-09-02,NA,114.2652498,45.22049335,1,"GROW","16_19",1.73779197001082,2.05791417339856,0.320122203387743,NA,NA,NA,2.97056810403833,1.84555661036785,NA,0,1
"60","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01979",0,4,2016,2016-09-12,NA,30.17634995,36.72067692,2,1,7,2019,2019-09-02,NA,103.0814498,50.83210342,1,"GROW","16_19",1.47966670752571,2.01318051810269,0.533513810576985,NA,NA,NA,2.97056810403833,1.65926663316003,NA,0,1
"61","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01980",0,4,2016,2016-09-12,NA,9.278749882,15.70008936,1,1,7,2019,2019-09-02,NA,7.397000144,13.90412178,1,"GROW","16_19",0.967489468037718,0.869055627156471,-0.0984338408812471,NA,NA,NA,2.97056810403833,0.934353099022165,NA,0,1
"62","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01981",0,4,2016,2016-09-12,NA,104.6097503,57.02843093,1,1,7,2019,2019-09-02,NA,224.8773494,71.78624539,1,"GROW","16_19",2.01957216545037,2.35194571365711,0.332373548206743,NA,NA,NA,2.97056810403833,2.13146104884439,NA,0,1
"63","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01982",0,4,2016,2016-09-12,NA,293.1996501,90.85283041,1,1,7,2019,2019-09-02,NA,471.6312007,101.9671941,1,"GROW","16_19",2.46716344768897,2.67360252806771,0.206439080378739,NA,NA,NA,2.97056810403833,2.53665826253537,NA,0,1
"64","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01983",0,4,2016,2016-09-12,NA,179.7806497,62.7460555,1,1,7,2019,2019-09-02,NA,366.2542003,93.26957377,1,"GROW","16_19",2.25474294556876,2.56378261399466,0.309039668425904,NA,NA,NA,2.97056810403833,2.35877680629923,NA,0,1
"65","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01984",0,4,2016,2016-09-12,NA,187.3377998,72.56510404,1,1,7,2019,2019-09-02,NA,373.5474004,82.33977999,1,"GROW","16_19",2.27262541532646,2.57234571840313,0.299720303076673,NA,NA,NA,2.97056810403833,2.37352204269859,NA,0,1
"66","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01985",0,4,2016,2016-09-12,NA,50.55369992,51.37623315,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",1.70375294619877,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"67","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01986",0,4,2016,2016-09-12,NA,7.89109994,12.14592208,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.897137543713569,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"68","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01987",0,4,2016,2016-09-12,NA,1.658299966,5.559595048,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.219663091832715,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"69","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01988",0,4,2016,2016-09-12,NA,1.98259995,5.749056085,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.297235090889655,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"70","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01989",0,4,2016,2016-09-12,NA,62.87855046,55.35505605,1,1,7,2019,2019-09-02,NA,22.13314987,30.5133171,2,"GROW","16_19",1.7985025213507,1.34504322476386,-0.453459296586839,NA,NA,NA,2.97056810403833,1.64585182266098,NA,0,1
"71","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01990",0,4,2016,2016-09-12,NA,7.253649891,12.20048553,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.860556589833307,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"72","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01991",0,4,2016,2016-09-12,NA,13.15190009,15.19129028,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",1.11898850103794,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"73","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01992",0,4,2016,2016-09-12,NA,0.673949885,3.617056158,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.171372396457488,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"74","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01993",0,4,2016,2016-09-12,NA,2.753300022,6.475506664,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.43985353823664,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"75","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01994",0,4,2016,2016-09-12,NA,27.72689975,20.96703287,1,1,7,2019,2019-09-02,NA,102.3029501,45.96142063,1,"GROW","16_19",1.44290131217653,2.00988815759953,0.566986845423,NA,NA,NA,2.97056810403833,1.63376946451823,NA,0,1
"76","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01995",0,4,2016,2016-09-12,NA,11.40124993,14.73045676,1,1,7,2019,2019-09-02,NA,58.39860011,33.79945469,1,"GROW","16_19",1.05695246606847,1.76640243663656,0.70944997056809,NA,NA,NA,2.97056810403833,1.29577882712837,NA,0,1
"77","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01996",0,4,2016,2016-09-12,NA,3.973650076,8.952419975,1,1,7,2019,2019-09-02,NA,28.89714977,22.63970279,1,"GROW","16_19",0.599189620007462,1.46085500883941,0.861665388831944,NA,NA,NA,2.97056810403833,0.889257162192593,NA,0,1
"78","KUR","OCC-KUR-010","POSP","OCC-KUR-010_01997",0,4,2016,2016-09-12,NA,0.544499979,2.992579011,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.264002132657856,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"79","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01998",0,4,2016,2016-09-12,NA,5.755049986,10.57933702,1,1,7,2019,2019-09-02,NA,18.42105019,19.87143437,1,"GROW","16_19",0.760049100085654,1.26531438583481,0.505265285749158,NA,NA,NA,2.97056810403833,0.93013955687817,NA,0,1
"80","KUR","OCC-KUR-010","POCS","OCC-KUR-010_01999",0,4,2016,2016-09-12,NA,6.002949851,11.95123695,1,1,7,2019,2019-09-02,NA,44.27494997,32.76479998,1,"GROW","16_19",0.778364715249103,1.64615807911643,0.867793363867325,NA,NA,NA,2.97056810403833,1.07049515409937,NA,0,1
"81","KUR","OCC-KUR-010","POCS","OCC-KUR-010_02000",0,4,2016,2016-09-12,NA,2.999300023,6.724817526,1,1,7,2019,2019-09-02,NA,23.98969997,22.47192469,1,"GROW","16_19",0.477019910846619,1.38002481644685,0.903004905600235,NA,NA,NA,2.97056810403833,0.781003820312505,NA,0,1
"82","KUR","OCC-KUR-010","POCS","OCC-KUR-010_02001",0,4,2016,2016-09-12,NA,15.23384995,19.25451257,1,1,7,2019,2019-09-02,NA,17.43995004,21.39045767,1,"GROW","16_19",1.18280967357534,1.24154523648053,0.0587355629051856,NA,NA,NA,2.97056810403833,1.20258217528144,NA,0,1
"83","KUR","OCC-KUR-010","POCS","OCC-KUR-010_02002",0,4,2016,2016-09-12,NA,16.6124499,19.80026012,1,1,7,2019,2019-09-02,NA,60.57945014,35.79780346,1,"GROW","16_19",1.22043368420293,1.78232532706472,0.561891642861794,NA,NA,NA,2.97056810403833,1.409586608217,NA,0,1
"84","KUR","OCC-KUR-010","POSP","OCC-KUR-010_02003",0,4,2016,2016-09-12,NA,1.029149992,5.209663702,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.0124786750061452,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"85","KUR","OCC-KUR-010","POSP","OCC-KUR-010_02004",0,4,2016,2016-09-12,NA,0.423850061,2.738470337,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",-0.372787750003519,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"86","KUR","OCC-KUR-010","POSP","OCC-KUR-010_02005",0,4,2016,2016-09-12,NA,3.255550014,9.021889939,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.512624371664907,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
"87","KUR","OCC-KUR-010","POSP","OCC-KUR-010_02006",0,4,2016,2016-09-12,NA,1.226699942,6.261941321,1,1,7,2019,2019-09-02,0,0,0,0,"MORT","16_19",0.0887383447399799,-Inf,-Inf,NA,-Inf,NA,2.97056810403833,-Inf,NA,1,0
