"Site","Island","Island_Code","Latitude","Longitude","Date","DataorError","Error_Category","ColonyName","Spec_Code","Genus","Genus_Code","Shape_Length","Shape_Area","Surface_Area","nPatches"
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_093_0","POSP","Porites sp.","POSP",0.046409786,0.0001469,0.004259957,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_077_0","ACSP","Acropora sp.","ACSP",1.922988656,0.049415835,0.270454819,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_095_0","ACSP","Acropora sp.","ACSP",7.770866956,0.73687845,1.865870213,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_097_0","ACSP","Acropora sp.","ACSP",8.861453417,0.877001925,3.066692783,2
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_035_0","POSP","Porites sp.","POSP",2.467336,0.063310385,0.215161742,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_094_0","POSP","Porites sp.","POSP",0.514217382,0.00436497,0.016431471,2
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_098_0","POSP","Porites sp.","POSP",0.554203092,0.00319193,0.016824447,5
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_083_0","POSP","Porites sp.","POSP",0.550416808,0.00813439,0.014688449,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_099_0","POSP","Porites sp.","POSP",0.110966977,0.00045119,0.000546031,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_100_0","POSP","Porites sp.","POSP",0.086803869,0.00029898,0.00039136,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_101_0","POSP","Porites sp.","POSP",0.078344436,0.000372295,0.000582929,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_102_0","POSP","Porites sp.","POSP",0.242484734,0.0017182,0.004303159,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_103_0","POSP","Porites sp.","POSP",0.122768177,0.00053857,0.001768971,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_104_0","POSP","Porites sp.","POSP",0.328987609,0.003972345,0.006854025,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_114_0","ACSP","Acropora sp.","ACSP",0.228094004,0.00144995,0.001957434,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_115_0","ACSP","Acropora sp.","ACSP",7.510029995,0.386515835,1.394933497,3
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_126_0","ACSP","Acropora sp.","ACSP",1.381633999,0.04154615,0.18958818,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_128_0","ACSP","Acropora sp.","ACSP",0.170718406,0.00091188,0.001716728,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_129_0","ACSP","Acropora sp.","ACSP",0.173574279,0.001851695,0.003562027,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_130_0","ACSP","Acropora sp.","ACSP",1.357776393,0.042582235,0.166041663,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_127_0","ACSP","Acropora sp.","ACSP",0.210587677,0.00183734,0.00440722,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_131_0","ACSP","Acropora sp.","ACSP",0.08818831,0.00052335,0.000852027,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_132_0","ACSP","Acropora sp.","ACSP",0.19507713,0.00173534,0.003389228,1
"OCC_BAK_003","Baker","BAK",0.205082,-176.474519,2018-06-14,"DATA","Growth Data","OCC_BAK_003_133_0","ACSP","Acropora sp.","ACSP",0.139205221,0.0007797,0.001104011,1
